syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,all_variants,selected
-,+,+,+,0,+,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0,"ʟː, ʟːʲ, ʟʲː, ʟːˠ",ʟː
-,+,+,+,0,+,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0,"ʟ, ʟ̝, ʟ̞, ʟ̟, ʟ̠, ʟʲ",ʟ
-,+,+,+,0,+,-,-,-,+,-,+,+,-,-,-,-,-,-,-,0,-,0,0,ɫ̤̥,ɫ̤̥
-,+,+,+,0,+,-,-,-,+,-,+,+,-,-,0,0,-,-,-,0,-,0,0,ɺ̤̥,ɺ̤̥
-,+,+,+,0,+,-,-,-,+,-,-,+,+,-,+,-,-,-,-,0,-,0,0,ʎ̤̥,ʎ̤̥
-,+,+,+,0,+,-,-,-,+,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɭ̤̥,ɭ̤̥
-,+,+,+,0,+,-,-,-,+,-,-,-,0,-,+,-,+,-,-,0,-,0,0,ʟ̤̥,ʟ̤̥
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,+,-,-,+,-,0,-,0,0,ɫ̥ʷ,ɫ̥ʷ
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,0,-,0,0,"ɫ̥ʲ, ɫ̥ˠ",ɫ̥ʲ
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,+,0,-,+,-,0,-,0,0,ɺ̥ʷ,ɺ̥ʷ
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,+,0,-,-,-,0,-,0,0,"ɺ̥ʲ, ɺ̥ˠ",ɺ̥ʲ
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,-,+,-,-,-,0,-,0,0,ɫ̥ˤ,ɫ̥ˤ
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0,ɫ̥ː,ɫ̥ː
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,ɫ̥,ɫ̥
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,0,+,-,-,-,0,-,0,0,ɺ̥ˤ,ɺ̥ˤ
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,0,0,-,-,-,0,+,0,0,ɺ̥ː,ɺ̥ː
-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,0,0,-,-,-,0,-,0,0,ɺ̥,ɺ̥
-,+,+,+,0,+,-,-,-,-,-,-,+,+,-,+,+,-,-,-,0,-,0,0,ʎ̥ˤ,ʎ̥ˤ
-,+,+,+,0,+,-,-,-,-,-,-,+,+,-,+,-,-,+,-,0,-,0,0,ʎ̥ʷ,ʎ̥ʷ
-,+,+,+,0,+,-,-,-,-,-,-,+,+,-,+,-,-,-,-,0,+,0,0,ʎ̥ː,ʎ̥ː
-,+,+,+,0,+,-,-,-,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,"ʎ̥ʲ, ʎ̥, ʎ̥ˠ",ʎ̥
-,+,+,+,0,+,-,-,-,-,-,-,+,-,-,+,0,-,+,-,0,-,0,0,ɭ̥ʷ,ɭ̥ʷ
-,+,+,+,0,+,-,-,-,-,-,-,+,-,-,+,0,-,-,-,0,-,0,0,"ɭ̥ʲ, ɭ̥ˠ",ɭ̥ʲ
-,+,+,+,0,+,-,-,-,-,-,-,+,-,-,0,+,-,-,-,0,-,0,0,ɭ̥ˤ,ɭ̥ˤ
-,+,+,+,0,+,-,-,-,-,-,-,+,-,-,0,0,-,-,-,0,+,0,0,ɭ̥ː,ɭ̥ː
-,+,+,+,0,+,-,-,-,-,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɭ̥,ɭ̥
-,+,+,+,0,+,-,-,-,-,-,-,-,0,-,+,+,+,-,-,0,-,0,0,ʟ̥ˤ,ʟ̥ˤ
-,+,+,+,0,+,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0,ʟ̥ʷ,ʟ̥ʷ
-,+,+,+,0,+,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0,ʟ̥ː,ʟ̥ː
-,+,+,+,0,+,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0,"ʟ̥, ʟ̥ʲ, ʟ̥ˠ",ʟ̥
-,+,+,+,0,-,+,-,+,-,+,+,+,+,-,0,0,-,-,-,0,-,0,0,r̪̰̃,r̪̰̃
-,+,+,+,0,-,+,-,+,-,+,+,+,-,-,0,0,-,-,-,0,-,0,0,"r̰̃, ɾ̰̃",r̰̃
-,+,+,+,0,-,+,-,+,-,+,+,-,0,+,0,0,-,-,-,0,-,0,0,ʙ̰̃,ʙ̰̃
-,+,+,+,0,-,+,-,+,-,+,-,+,-,-,0,0,-,-,-,0,-,0,0,ɽ̰̃,ɽ̰̃
-,+,+,+,0,-,+,-,+,-,+,-,-,0,-,-,-,+,-,-,0,-,0,0,ʀ̰̃,ʀ̰̃
-,+,+,+,0,-,+,-,+,-,-,+,+,+,-,0,+,-,-,-,0,-,0,0,r̪̃ˤ,r̪̃ˤ
-,+,+,+,0,-,+,-,+,-,-,+,+,+,-,0,0,-,-,-,0,+,0,0,r̪̃ː,r̪̃ː
-,+,+,+,0,-,+,-,+,-,-,+,+,+,-,0,0,-,-,-,0,-,0,0,r̪̃,r̪̃
-,+,+,+,0,-,+,-,+,-,-,+,+,-,-,0,+,-,-,-,0,-,0,0,"r̃ˤ, ɾ̃ˤ",r̃ˤ
-,+,+,+,0,-,+,-,+,-,-,+,+,-,-,0,0,-,-,-,0,+,0,0,"r̃ː, ɾ̃ː",r̃ː
-,+,+,+,0,-,+,-,+,-,-,+,+,-,-,0,0,-,-,-,0,-,0,0,"r̃, ɾ̃",r̃
-,+,+,+,0,-,+,-,+,-,-,+,-,0,+,0,+,-,-,-,0,-,0,0,ʙ̃ˤ,ʙ̃ˤ
-,+,+,+,0,-,+,-,+,-,-,+,-,0,+,0,0,-,-,-,0,+,0,0,ʙ̃ː,ʙ̃ː
-,+,+,+,0,-,+,-,+,-,-,+,-,0,+,0,0,-,-,-,0,-,0,0,ʙ̃,ʙ̃
-,+,+,+,0,-,+,-,+,-,-,-,+,-,-,0,+,-,-,-,0,-,0,0,ɽ̃ˤ,ɽ̃ˤ
-,+,+,+,0,-,+,-,+,-,-,-,+,-,-,0,0,-,-,-,0,+,0,0,ɽ̃ː,ɽ̃ː
-,+,+,+,0,-,+,-,+,-,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɽ̃,ɽ̃
-,+,+,+,0,-,+,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0,ʀ̃ˤ,ʀ̃ˤ
-,+,+,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0,ʀ̃ː,ʀ̃ː
-,+,+,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ʀ̃,ʀ̃
-,+,+,+,0,-,-,-,+,+,-,+,+,+,-,+,0,-,+,-,0,-,0,0,r̪̤ʷ,r̪̤ʷ
-,+,+,+,0,-,-,-,+,+,-,+,+,+,-,+,0,-,-,-,0,-,0,0,"r̪̤ʲ, r̪̤ˠ",r̪̤ʲ
-,+,+,+,0,-,-,-,+,+,-,+,+,+,-,0,+,-,-,-,0,-,0,0,r̪̤ˤ,r̪̤ˤ
-,+,+,+,0,-,-,-,+,+,-,+,+,+,-,0,0,-,-,-,0,+,0,0,r̪̤ː,r̪̤ː
-,+,+,+,0,-,-,-,+,+,-,+,+,+,-,0,0,-,-,-,0,-,0,0,r̪̤,r̪̤
-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,+,0,-,+,-,0,-,0,0,"r̤ʷ, ɾ̤ʷ",r̤ʷ
-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,+,0,-,-,-,0,-,0,0,"r̤ʲ, ɾ̤ʲ, r̤ˠ, ɾ̤ˠ",r̤ʲ
-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,0,+,-,-,-,0,-,0,0,"r̤ˤ, ɾ̤ˤ",r̤ˤ
-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,0,0,-,-,-,0,+,0,0,"r̤ː, ɾ̤ː",r̤ː
-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,0,0,-,-,-,0,-,0,0,"r̤, ɾ̤",r̤
-,+,+,+,0,-,-,-,+,+,-,+,-,0,+,+,0,-,+,-,0,-,0,0,ʙ̤ʷ,ʙ̤ʷ
-,+,+,+,0,-,-,-,+,+,-,+,-,0,+,+,0,-,-,-,0,-,0,0,"ʙ̤ʲ, ʙ̤ˠ",ʙ̤ʲ
-,+,+,+,0,-,-,-,+,+,-,+,-,0,+,0,+,-,-,-,0,-,0,0,ʙ̤ˤ,ʙ̤ˤ
-,+,+,+,0,-,-,-,+,+,-,+,-,0,+,0,0,-,-,-,0,+,0,0,ʙ̤ː,ʙ̤ː
-,+,+,+,0,-,-,-,+,+,-,+,-,0,+,0,0,-,-,-,0,-,0,0,ʙ̤,ʙ̤
-,+,+,+,0,-,-,-,+,+,-,-,+,-,-,+,0,-,+,-,0,-,0,0,ɽ̤ʷ,ɽ̤ʷ
-,+,+,+,0,-,-,-,+,+,-,-,+,-,-,+,0,-,-,-,0,-,0,0,"ɽ̤ʲ, ɽ̤ˠ",ɽ̤ʲ
-,+,+,+,0,-,-,-,+,+,-,-,+,-,-,0,+,-,-,-,0,-,0,0,ɽ̤ˤ,ɽ̤ˤ
-,+,+,+,0,-,-,-,+,+,-,-,+,-,-,0,0,-,-,-,0,+,0,0,ɽ̤ː,ɽ̤ː
-,+,+,+,0,-,-,-,+,+,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɽ̤,ɽ̤
-,+,+,+,0,-,-,-,+,+,-,-,-,0,-,+,-,+,+,-,0,-,0,0,ʀ̤ʷ,ʀ̤ʷ
-,+,+,+,0,-,-,-,+,+,-,-,-,0,-,+,-,+,-,-,0,-,0,0,"ʀ̤ʲ, ʀ̤ˠ",ʀ̤ʲ
-,+,+,+,0,-,-,-,+,+,-,-,-,0,-,-,+,+,-,-,0,-,0,0,ʀ̤ˤ,ʀ̤ˤ
-,+,+,+,0,-,-,-,+,+,-,-,-,0,-,-,-,+,-,-,0,+,0,0,ʀ̤ː,ʀ̤ː
-,+,+,+,0,-,-,-,+,+,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ʀ̤,ʀ̤
-,+,+,+,0,-,-,-,+,-,+,+,+,+,-,+,0,-,+,-,0,-,0,0,"r̪ʷˀ, r̪̰ʷ",r̪̰ʷ
-,+,+,+,0,-,-,-,+,-,+,+,+,+,-,+,0,-,-,-,0,-,0,0,"r̪̰ʲ, r̪̰ˠ",r̪̰ʲ
-,+,+,+,0,-,-,-,+,-,+,+,+,+,-,0,+,-,-,-,0,-,0,0,r̪̰ˤ,r̪̰ˤ
-,+,+,+,0,-,-,-,+,-,+,+,+,+,-,0,0,-,-,-,0,+,0,0,r̪̰ː,r̪̰ː
-,+,+,+,0,-,-,-,+,-,+,+,+,+,-,0,0,-,-,-,0,-,0,0,"r̪̰, r̪ˀ, ˀr̪",r̪̰
-,+,+,+,0,-,-,-,+,-,+,+,+,-,-,+,0,-,+,-,0,-,0,0,"rʷˀ, ɾʷˀ, r̰ʷ, ɾ̰ʷ",r̰ʷ
-,+,+,+,0,-,-,-,+,-,+,+,+,-,-,+,0,-,-,-,0,-,0,0,"r̰ʲ, ɾ̰ʲ, ɾ̰ˠ, r̰ˠ",r̰ʲ
-,+,+,+,0,-,-,-,+,-,+,+,+,-,-,0,+,-,-,-,0,-,0,0,"r̰ˤ, ɾ̰ˤ",r̰ˤ
-,+,+,+,0,-,-,-,+,-,+,+,+,-,-,0,0,-,-,-,0,+,0,0,"r̰ː, ɾ̰ː",r̰ː
-,+,+,+,0,-,-,-,+,-,+,+,+,-,-,0,0,-,-,-,0,-,0,0,"ɾ̰, r̰, ɾˀ, rˀ, ˀr, ˀɾ",r̰
-,+,+,+,0,-,-,-,+,-,+,+,-,0,+,+,0,-,+,-,0,-,0,0,"ʙʷˀ, ʙ̰ʷ",ʙ̰ʷ
-,+,+,+,0,-,-,-,+,-,+,+,-,0,+,+,0,-,-,-,0,-,0,0,"ʙ̰ʲ, ʙ̰ˠ",ʙ̰ʲ
-,+,+,+,0,-,-,-,+,-,+,+,-,0,+,0,+,-,-,-,0,-,0,0,ʙ̰ˤ,ʙ̰ˤ
-,+,+,+,0,-,-,-,+,-,+,+,-,0,+,0,0,-,-,-,0,+,0,0,ʙ̰ː,ʙ̰ː
-,+,+,+,0,-,-,-,+,-,+,+,-,0,+,0,0,-,-,-,0,-,0,0,"ʙ̰, ʙˀ, ˀʙ",ʙ̰
-,+,+,+,0,-,-,-,+,-,+,-,+,-,-,+,0,-,+,-,0,-,0,0,"ɽʷˀ, ɽ̰ʷ",ɽ̰ʷ
-,+,+,+,0,-,-,-,+,-,+,-,+,-,-,+,0,-,-,-,0,-,0,0,"ɽ̰ʲ, ɽ̰ˠ",ɽ̰ʲ
-,+,+,+,0,-,-,-,+,-,+,-,+,-,-,0,+,-,-,-,0,-,0,0,ɽ̰ˤ,ɽ̰ˤ
-,+,+,+,0,-,-,-,+,-,+,-,+,-,-,0,0,-,-,-,0,+,0,0,ɽ̰ː,ɽ̰ː
-,+,+,+,0,-,-,-,+,-,+,-,+,-,-,0,0,-,-,-,0,-,0,0,"ɽ̰, ɽˀ, ˀɽ",ɽ̰
-,+,+,+,0,-,-,-,+,-,+,-,-,0,-,+,-,+,+,-,0,-,0,0,"ʀʷˀ, ʀ̰ʷ",ʀ̰ʷ
-,+,+,+,0,-,-,-,+,-,+,-,-,0,-,+,-,+,-,-,0,-,0,0,"ʀ̰ʲ, ʀ̰ˠ",ʀ̰ʲ
-,+,+,+,0,-,-,-,+,-,+,-,-,0,-,-,+,+,-,-,0,-,0,0,ʀ̰ˤ,ʀ̰ˤ
-,+,+,+,0,-,-,-,+,-,+,-,-,0,-,-,-,+,-,-,0,+,0,0,ʀ̰ː,ʀ̰ː
-,+,+,+,0,-,-,-,+,-,+,-,-,0,-,-,-,+,-,-,0,-,0,0,"ʀ̰, ʀˀ, ˀʀ",ʀ̰
-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,+,-,+,-,0,-,0,0,r̪ʷˤ,r̪ʷˤ
-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,0,-,+,-,0,+,0,0,"r̪ʷː, r̪ːʷ",r̪ʷː
-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,0,-,+,-,0,-,0,0,"r̪ᶣ, r̪ʷˠ, r̪ʲʷ, r̪ʷ",r̪ʷ
-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,0,-,-,-,0,+,0,0,"r̪ːʲ, r̪ʲː, r̪ːˠ",r̪ʲː
-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,0,-,-,-,0,-,0,0,"r̪ʲ, r̪ˠ",r̪ʲ
-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,0,+,-,-,-,0,+,0,0,"r̪ːˤ, r̪ˤː",r̪ˤː
-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,0,+,-,-,-,0,-,0,0,r̪ˤ,r̪ˤ
-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,0,0,-,-,-,0,+,0,0,r̪ː,r̪ː
-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,0,0,-,-,-,0,-,0,0,"r̪, r̪̝, r̪̞, r̪̟, r̻, r̪̻, ɾ̻, r̪̠",r̪
-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,+,-,+,-,0,-,0,0,"rʷˤ, ɾʷˤ",rʷˤ
-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,-,+,-,0,+,0,0,"ɾʷː, rʷː, rːʷ, ɾːʷ",rʷː
-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,-,+,-,0,-,0,0,"rᶣ, ɾᶣ, rʷˠ, ɾʷˠ, rʲʷ, ɾʲʷ, rʷ, ɾʷ",rʷ
-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,-,-,-,0,+,0,0,"rːʲ, ɾːʲ, rʲː, ɾʲː, rːˠ, ɾːˠ",rʲː
-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,-,-,-,0,-,0,0,"ɾʲ, rʲ, ɾˠ, rˠ",rʲ
-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,+,-,-,-,0,+,0,0,"rːˤ, ɾːˤ, rˤː, ɾˤː",rˤː
-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,+,-,-,-,0,-,0,0,"rˤ, ɾˤ",rˤ
-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,0,-,-,-,0,+,0,0,"rː, ɾː",rː
-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,0,-,-,-,0,-,0,0,"r, ɾ, r̝, ɾ̝, r̞, ɾ̞, r̺, r̪̺, ɾ̺, r̟, ɾ̟, r̠, ɾ̠",r
-,+,+,+,0,-,-,-,+,-,-,+,-,0,+,+,+,-,+,-,0,-,0,0,ʙʷˤ,ʙʷˤ
-,+,+,+,0,-,-,-,+,-,-,+,-,0,+,+,0,-,+,-,0,+,0,0,"ʙʷː, ʙːʷ",ʙʷː
-,+,+,+,0,-,-,-,+,-,-,+,-,0,+,+,0,-,+,-,0,-,0,0,"ʙʷˠ, ʙʲʷ, ʙʷ",ʙʷ
-,+,+,+,0,-,-,-,+,-,-,+,-,0,+,+,0,-,-,-,0,+,0,0,"ʙːʲ, ʙʲː, ʙːˠ",ʙʲː
-,+,+,+,0,-,-,-,+,-,-,+,-,0,+,+,0,-,-,-,0,-,0,0,"ʙʲ, ʙˠ",ʙʲ
-,+,+,+,0,-,-,-,+,-,-,+,-,0,+,0,+,-,-,-,0,+,0,0,"ʙːˤ, ʙˤː",ʙˤː
-,+,+,+,0,-,-,-,+,-,-,+,-,0,+,0,+,-,-,-,0,-,0,0,ʙˤ,ʙˤ
-,+,+,+,0,-,-,-,+,-,-,+,-,0,+,0,0,-,-,-,0,+,0,0,ʙː,ʙː
-,+,+,+,0,-,-,-,+,-,-,+,-,0,+,0,0,-,-,-,0,-,0,0,"ʙ, ʙ̝, ʙ̞, ʙ̟, ʙ̠",ʙ
-,+,+,+,0,-,-,-,+,-,-,-,+,+,-,0,0,-,-,-,0,-,0,0,ɽ̻,ɽ̻
-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,+,-,+,-,0,-,0,0,ɽʷˤ,ɽʷˤ
-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,0,-,+,-,0,+,0,0,"ɽʷː, ɽːʷ",ɽʷː
-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,0,-,+,-,0,-,0,0,"ɽᶣ, ɽʷˠ, ɽʲʷ, ɽʷ",ɽʷ
-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,0,-,-,-,0,+,0,0,"ɽːʲ, ɽʲː, ɽːˠ",ɽʲː
-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,0,-,-,-,0,-,0,0,"ɽʲ, ɽˠ",ɽʲ
-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,0,+,-,-,-,0,+,0,0,"ɽːˤ, ɽˤː",ɽˤː
-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,0,+,-,-,-,0,-,0,0,ɽˤ,ɽˤ
-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,0,0,-,-,-,0,+,0,0,ɽː,ɽː
-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,0,0,-,-,-,0,-,0,0,"ɽ, ɽ̝, ɽ̞, ɽ̺, ɽ̟, ɽ̠",ɽ
-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,+,+,+,+,-,0,-,0,0,ʀʷˤ,ʀʷˤ
-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,+,0,0,"ʀʷː, ʀːʷ",ʀʷː
-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0,"ʀᶣ, ʀʷˠ, ʀʲʷ, ʀʷ",ʀʷ
-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,+,0,0,"ʀːʲ, ʀʲː, ʀːˠ",ʀʲː
-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0,"ʀʲ, ʀˠ",ʀʲ
-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,+,0,0,"ʀːˤ, ʀˤː",ʀˤː
-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0,ʀˤ,ʀˤ
-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0,ʀː,ʀː
-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,"ʀ, ʀ̝, ʀ̞, ʀ̟, ʀ̠",ʀ
-,+,+,+,0,-,-,-,-,+,-,+,+,+,-,0,0,-,-,-,0,-,0,0,r̪̤̥,r̪̤̥
-,+,+,+,0,-,-,-,-,+,-,+,+,-,-,0,0,-,-,-,0,-,0,0,"r̤̥, ɾ̤̥",r̤̥
-,+,+,+,0,-,-,-,-,+,-,+,-,0,+,0,0,-,-,-,0,-,0,0,ʙ̤̥,ʙ̤̥
-,+,+,+,0,-,-,-,-,+,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɽ̤̥,ɽ̤̥
-,+,+,+,0,-,-,-,-,+,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ʀ̤̥,ʀ̤̥
-,+,+,+,0,-,-,-,-,-,-,+,+,+,-,+,0,-,+,-,0,-,0,0,r̪̥ʷ,r̪̥ʷ
-,+,+,+,0,-,-,-,-,-,-,+,+,+,-,+,0,-,-,-,0,-,0,0,"r̪̥ʲ, r̪̥ˠ",r̪̥ʲ
-,+,+,+,0,-,-,-,-,-,-,+,+,+,-,0,+,-,-,-,0,-,0,0,r̪̥ˤ,r̪̥ˤ
-,+,+,+,0,-,-,-,-,-,-,+,+,+,-,0,0,-,-,-,0,+,0,0,r̪̥ː,r̪̥ː
-,+,+,+,0,-,-,-,-,-,-,+,+,+,-,0,0,-,-,-,0,-,0,0,r̪̥,r̪̥
-,+,+,+,0,-,-,-,-,-,-,+,+,-,-,+,0,-,+,-,0,-,0,0,"r̥ʷ, ɾ̥ʷ",r̥ʷ
-,+,+,+,0,-,-,-,-,-,-,+,+,-,-,+,0,-,-,-,0,-,0,0,"r̥ʲ, ɾ̥ʲ, r̥ˠ, ɾ̥ˠ",r̥ʲ
-,+,+,+,0,-,-,-,-,-,-,+,+,-,-,0,+,-,-,-,0,-,0,0,"r̥ˤ, ɾ̥ˤ",r̥ˤ
-,+,+,+,0,-,-,-,-,-,-,+,+,-,-,0,0,-,-,-,0,+,0,0,"r̥ː, ɾ̥ː",r̥ː
-,+,+,+,0,-,-,-,-,-,-,+,+,-,-,0,0,-,-,-,0,-,0,0,"r̥, ɾ̥",r̥
-,+,+,+,0,-,-,-,-,-,-,+,-,0,+,+,0,-,+,-,0,-,0,0,ʙ̥ʷ,ʙ̥ʷ
-,+,+,+,0,-,-,-,-,-,-,+,-,0,+,+,0,-,-,-,0,-,0,0,"ʙ̥ʲ, ʙ̥ˠ",ʙ̥ʲ
-,+,+,+,0,-,-,-,-,-,-,+,-,0,+,0,+,-,-,-,0,-,0,0,ʙ̥ˤ,ʙ̥ˤ
-,+,+,+,0,-,-,-,-,-,-,+,-,0,+,0,0,-,-,-,0,+,0,0,ʙ̥ː,ʙ̥ː
-,+,+,+,0,-,-,-,-,-,-,+,-,0,+,0,0,-,-,-,0,-,0,0,ʙ̥,ʙ̥
-,+,+,+,0,-,-,-,-,-,-,-,+,-,-,+,0,-,+,-,0,-,0,0,ɽ̥ʷ,ɽ̥ʷ
-,+,+,+,0,-,-,-,-,-,-,-,+,-,-,+,0,-,-,-,0,-,0,0,"ɽ̥ʲ, ɽ̥ˠ",ɽ̥ʲ
-,+,+,+,0,-,-,-,-,-,-,-,+,-,-,0,+,-,-,-,0,-,0,0,ɽ̥ˤ,ɽ̥ˤ
-,+,+,+,0,-,-,-,-,-,-,-,+,-,-,0,0,-,-,-,0,+,0,0,ɽ̥ː,ɽ̥ː
-,+,+,+,0,-,-,-,-,-,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɽ̥,ɽ̥
-,+,+,+,0,-,-,-,-,-,-,-,-,0,-,+,-,+,+,-,0,-,0,0,ʀ̥ʷ,ʀ̥ʷ
-,+,+,+,0,-,-,-,-,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0,"ʀ̥ʲ, ʀ̥ˠ",ʀ̥ʲ
-,+,+,+,0,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0,ʀ̥ˤ,ʀ̥ˤ
-,+,+,+,0,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0,ʀ̥ː,ʀ̥ː
-,+,+,+,0,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ʀ̥,ʀ̥
-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,+,-,-,+,-,0,-,0,0,n̪̤ʷ,n̪̤ʷ
-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,+,-,-,-,-,0,-,0,0,"n̪̤ʲ, n̪̤ˠ",n̪̤ʲ
-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,-,+,-,-,-,0,-,0,0,n̪̤ˤ,n̪̤ˤ
-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,-,-,-,-,-,0,+,0,0,n̪̤ː,n̪̤ː
-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,-,-,-,-,-,0,-,0,0,n̪̤,n̪̤
-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,+,-,-,+,-,0,-,0,0,n̤ʷ,n̤ʷ
-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,+,-,-,-,-,0,-,0,0,"n̤ʲ, n̤ˠ",n̤ʲ
-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,-,+,-,-,-,0,-,0,0,n̤ˤ,n̤ˤ
-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,-,-,-,-,-,0,+,0,0,n̤ː,n̤ː
-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,-,-,-,-,-,0,-,0,0,n̤,n̤
-,+,+,-,-,-,+,-,+,+,-,+,-,0,+,+,-,-,+,-,0,-,0,0,m̤ʷ,m̤ʷ
-,+,+,-,-,-,+,-,+,+,-,+,-,0,+,+,-,-,-,-,0,-,0,0,"m̤ʲ, m̤ˠ",m̤ʲ
-,+,+,-,-,-,+,-,+,+,-,+,-,0,+,-,+,-,-,-,0,-,0,0,m̤ˤ,m̤ˤ
-,+,+,-,-,-,+,-,+,+,-,+,-,0,+,-,-,-,-,-,0,+,0,0,m̤ː,m̤ː
-,+,+,-,-,-,+,-,+,+,-,+,-,0,+,-,-,-,-,-,0,-,0,0,m̤,m̤
-,+,+,-,-,-,+,-,+,+,-,-,+,0,-,+,-,-,+,-,0,-,0,0,ɳ̤ʷ,ɳ̤ʷ
-,+,+,-,-,-,+,-,+,+,-,-,+,0,-,+,-,-,-,-,0,-,0,0,"ɳ̤ʲ, ɳ̤ˠ",ɳ̤ʲ
-,+,+,-,-,-,+,-,+,+,-,-,+,0,-,-,+,-,-,-,0,-,0,0,ɳ̤ˤ,ɳ̤ˤ
